airport_code,name,city,country,latitude,longitude,network_tier
KIX,Kansai International Airport,Osaka,JP,34.427299,135.244003,Premium Global Hub
HND,Tokyo Haneda International Airport,Tokyo,JP,35.549678,139.786958,Premium Global Hub
PUS,Gimhae International Airport,Busan,KR,35.179501,128.938004,Premium Global Hub
ICN,Incheon International Airport,Seoul,KR,37.469101,126.450996,Premium Global Hub
GMP,Gimpo International Airport,Seoul,KR,37.5583,126.791,Premium Global Hub
MNL,Ninoy Aquino International Airport,Manila (Pasay),PH,14.5086,121.019997,Premium Global Hub
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN,23.0772,72.634697,Domestic Stronghold (IN)
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN,19.088699,72.867897,Domestic Stronghold (IN)
BDQ,Vadodara International Airport,Vadodara,IN,22.336201,73.226303,Domestic Stronghold (IN)
BHO,Raja Bhoj International Airport,Bhopal,IN,23.2875,77.337402,Domestic Stronghold (IN)
HSR,Rajkot International Airport,Rajkot,IN,22.378824,71.039391,Domestic Stronghold (IN)
IDR,Devi Ahilya Bai Holkar International Airport,Indore,IN,22.721404,75.80051,Domestic Stronghold (IN)
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN,21.092199,79.047203,Domestic Stronghold (IN)
ISK,Nashik International Airport,Nashik,IN,20.119101,73.912903,Domestic Stronghold (IN)
PNQ,Pune International Airport,Pune,IN,18.5821,73.919701,Domestic Stronghold (IN)
RPR,Swami Vivekananda Airport,Raipur,IN,21.180401,81.7388,Domestic Stronghold (IN)
SAG,Shirdi International Airport,Kakadi,IN,19.689211,74.373655,Domestic Stronghold (IN)
STV,Surat International Airport,Surat,IN,21.115531,72.743251,Domestic Stronghold (IN)
RML,Colombo Ratmalana International Airport,Colombo,LK,6.821638,79.885859,Domestic Stronghold (IN)
IXA,Agartala - Maharaja Bir Bikram Airport,Agartala,IN,23.886999,91.240402,Domestic Stronghold (IN)
IXB,Bagdogra Airport,Siliguri,IN,26.6812,88.328598,Domestic Stronghold (IN)
VNS,Lal Bahadur Shastri International Airport,Varanasi,IN,25.452171,82.862549,Domestic Stronghold (IN)
BBI,Biju Patnaik International Airport,Bhubaneswar,IN,20.251021,85.814747,Domestic Stronghold (IN)
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,IN,22.654012,88.44765,Domestic Stronghold (IN)
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN,26.106654,91.585226,Domestic Stronghold (IN)
GAY,Gaya Airport,Gaya,IN,24.744301,84.951202,Domestic Stronghold (IN)
IMF,Bir Tikendrajit International Airport,Imphal,IN,24.76,93.896698,Domestic Stronghold (IN)
PAT,Jay Prakash Narayan Airport,Patna,IN,25.591299,85.087997,Domestic Stronghold (IN)
IXR,Birsa Munda Airport,Ranchi,IN,23.314300537100003,85.3217010498,Domestic Stronghold (IN)
VTZ,Visakhapatnam International Airport,Visakhapatnam,IN,17.723506,83.227729,Domestic Stronghold (IN)
HKG,Hong Kong International Airport,Hong Kong,HK,22.31184,113.914862,Premium Global Hub
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,IN,31.7096,74.797302,Domestic Stronghold (IN)
IXC,Shaheed Bhagat Singh International Airport,Chandigarh,IN,30.6735,76.788498,Domestic Stronghold (IN)
DED,Dehradun Jolly Grant Airport,Dehradun (Jauligrant),IN,30.189243,78.176651,Domestic Stronghold (IN)
DEL,Indira Gandhi International Airport,New Delhi,IN,28.55563,77.09519,Domestic Stronghold (IN)
HSS,Maharaja Agrasen International Airport,Hisar,IN,29.186065,75.74142,Domestic Stronghold (IN)
HWR,Halwara International Airport,Halwara,IN,30.748501,75.629799,Domestic Stronghold (IN)
JAI,Jaipur International Airport,Jaipur,IN,26.8242,75.812202,Domestic Stronghold (IN)
LKO,Chaudhary Charan Singh International Airport,Lucknow,IN,26.760599,80.889297,Domestic Stronghold (IN)
SXR,Sheikh ul Alam International Airport,Srinagar,IN,33.987099,74.7742,Domestic Stronghold (IN)
LPQ,Luang Phabang International Airport,Luang Phabang,LA,19.904273,102.167191,Domestic Stronghold (IN)
PKZ,Pakse International Airport,Pakse,LA,15.133973,105.779871,Domestic Stronghold (IN)
BLR,Kempegowda International Airport Bengaluru,Bengaluru,IN,13.1979,77.706299,Domestic Stronghold (IN)
VGA,Vijayawada International Airport,Vijayawada,IN,16.530011,80.804888,Domestic Stronghold (IN)
CJB,Coimbatore International Airport,Coimbatore,IN,11.03,77.043404,Domestic Stronghold (IN)
COK,Cochin International Airport,Kochi,IN,10.151047,76.400838,Domestic Stronghold (IN)
CCJ,Calicut International Airport,Calicut,IN,11.135996,75.955152,Domestic Stronghold (IN)
GOX,Manohar International Airport,Mopa,IN,15.744257,73.860625,Domestic Stronghold (IN)
GOI,Goa Dabolim International Airport,Vasco da Gama,IN,15.380062,73.833328,Domestic Stronghold (IN)
HYD,Rajiv Gandhi International Airport,Hyderabad,IN,17.231318,78.429855,Domestic Stronghold (IN)
CNN,Kannur International Airport,Kannur,IN,11.916343,75.544979,Domestic Stronghold (IN)
IXE,Mangaluru International Airport,Mangaluru,IN,12.95471,74.886812,Domestic Stronghold (IN)
MAA,Chennai International Airport,Chennai,IN,12.990005,80.169296,Domestic Stronghold (IN)
IXZ,Veer Savarkar International Airport / INS Utkrosh,Port Blair,IN,11.640194,92.72902,Domestic Stronghold (IN)
TIR,Tirupati International Airport,Tirupati,IN,13.631988,79.539869,Domestic Stronghold (IN)
TRZ,Tiruchirappalli International Airport,Tiruchirappalli,IN,10.762915,78.717741,Domestic Stronghold (IN)
TRV,Thiruvananthapuram International Airport,Thiruvananthapuram,IN,8.481889,76.920029,Domestic Stronghold (IN)
BKK,Suvarnabhumi Airport,Bangkok,TH,13.6811,100.747002,Premium Global Hub
SIN,Singapore Changi Airport,Singapore,SG,1.35019,103.994003,Premium Global Hub
MEL,Melbourne Airport,Melbourne,AU,-37.670732,144.837898,Premium Global Hub
PER,Perth International Airport,Perth,AU,-31.94029998779297,115.96700286865234,Premium Global Hub
SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU,-33.946098,151.177002,Premium Global Hub
